riik,kog_rahulolu,kog_tervis,kog_majandus,kog_turvalisus,kog_sotstoetus,afek_onnelikkus,afek_masendus,afek_room,euda_vaartus,euda_auto,euda_huvi,euda_usaldus,kog_kesk,afek_kesk,euda_kesk,total_heaoluskoor
Austria,7.84,7.6537,7.3793,7.4575,5.0822,7.84,8.8182,6.1626,7.8495,8.0874,6.7127,5.97,7.08,7.53,7.15,21.77
Belgia,7.38,7.1632,7.1332,6.7964,5.3582,7.69,8.5004,6.917,7.0928,7.1726,6.873,5.38,6.77,7.63,6.63,21.02
Bulgaaria,6.07,7.3513,4.6116,5.0503,3.5879,6.31,8.6429,5.6051,7.3152,6.8091,6.1496,3.66,5.33,6.78,5.98,18.10
Küpros,6.36,7.5324,6.3801,6.0395,4.0574,7.01,8.7893,6.0954,6.9675,6.8882,6.1083,4.12,6.07,7.23,6.02,19.32
Saksamaa,7.5,6.5086,7.7779,6.6085,5.6727,7.62,8.2292,5.993,7.1181,7.2669,6.6056,4.93,6.81,7.21,6.48,20.50
Eesti,6.91,6.4125,6.8077,7.4911,4.2622,7.32,8.3996,6.5042,7.5081,7.4806,5.7865,5.62,6.38,7.33,6.60,20.31
Hispaania,7.46,6.8596,7.3284,7.1678,4.8356,7.86,8.3312,6.295,7.3044,7.2209,6.9147,5.27,6.73,7.42,6.68,20.83
Soome,7.88,6.8908,7.0992,7.8458,5.2657,8.05,9.2548,6.4389,7.9617,7.7407,6.8499,6.81,7.00,7.84,7.34,22.17
Prantsusmaa,6.71,6.8733,7.4126,6.6768,4.6616,7.41,8.4573,7.4965,7.1776,6.9353,6.988,4.47,6.47,7.71,6.39,20.57
Ühendkuningriigid (UK),7.08,7.0702,7.4628,6.8576,5.1643,7.5,8.5484,6.6903,7.6195,7.7194,6.3879,5.41,6.73,7.50,6.78,21.01
Horvaatia,7.13,7.0073,6.9775,7.9339,3.7439,7.49,8.5054,6.277,6.8329,6.8723,5.7403,4.57,6.56,7.35,6.00,19.91
Ungari,6.62,7.1719,6.1405,7.0404,4.2697,7.18,7.6964,6.1539,7.0028,6.5653,7.1812,4.45,6.25,6.94,6.30,19.49
Iirimaa,7.37,7.9761,7.2789,7.0015,4.5133,7.7,9.0939,7.2469,7.7144,7.6594,7.116,5.44,6.83,7.93,6.98,21.74
Itaalia,6.65,7.0237,6.8458,5.9015,3.5659,6.86,8.8492,4.3624,6.9852,6.9058,5.9445,4.48,6.00,6.62,6.08,18.70
Leedu,7.1,6.5139,6.7956,6.3003,3.4864,7.47,7.7467,6.0097,6.8408,7.3431,6.1715,5.08,6.04,7.00,6.36,19.40
Läti,6.44,5.8564,5.2065,6.5131,3.061,6.89,7.5943,4.6996,7.7123,7.6479,6.6639,3.94,5.42,6.33,6.49,18.24
Montenegro,6.1,7.3841,5.0161,6.7999,3.744,6.56,7.5525,5.5969,7.0542,6.8546,5.7879,4.24,5.81,6.50,5.98,18.30
Holland,7.86,7.1362,8.4957,7.3154,6.0876,7.9,8.9381,7.2868,7.7335,7.6323,7.1301,6.21,7.38,7.96,7.18,22.52
Poola,7.43,6.912,6.788,7.5641,5.1738,7.61,8.3181,7.0932,7.1885,7.3489,6.0954,4.57,6.77,7.60,6.30,20.67
Portugal,6.52,6.57,5.7824,6.7815,3.8758,7.22,8.2448,6.1671,7.1676,7.258,6.6193,4.26,5.91,7.14,6.33,19.37
Serbia,6.91,6.7847,7.0337,7.5972,4.2061,7.36,8.5309,5.5559,7.0702,6.7098,5.0755,4.38,6.51,7.08,5.81,19.39
Rootsi,7.82,7.3696,8.6756,7.7927,6.3862,7.69,8.9045,6.294,8.3044,8.5602,6.8106,6.17,7.61,7.55,7.46,22.62
Sloveenia,7.51,6.9676,8.2047,8.0932,4.5756,7.76,8.9675,6.7969,7.1349,7.0841,6.2778,4.68,7.07,7.76,6.29,21.13
Slovakkia,6.44,6.7863,6.1453,6.1539,3.229,6.72,8.4273,6.5523,7.2481,7.1954,6.8633,4.02,5.75,7.16,6.33,19.24
Kreeka,6.4,8.2321,5.1701,6.0263,3.7132,6.77,8.7145,5.424,5.8985,5.1728,5.7932,4.43,5.91,6.90,5.32,18.13
